season,round,date_utc,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score,winner_team,margin,is_final,is_grand_final,game_id
2024,18,2024-07-12 19:40:00,M.C.G.,Collingwood,Geelong,10,11,71,13,13,91,Geelong,-20,0,0,35844
2024,18,2024-07-13 13:45:00,York Park,Hawthorn,Fremantle,13,9,87,10,14,74,Hawthorn,13,0,0,35846
2024,18,2024-07-13 13:45:00,S.C.G.,Sydney,North Melbourne,20,18,138,9,5,59,Sydney,79,0,0,35849
2024,18,2024-07-13 16:35:00,Docklands,Western Bulldogs,Carlton,14,16,100,12,14,86,Western Bulldogs,14,0,0,35850
2024,18,2024-07-13 19:30:00,Adelaide Oval,Adelaide,St Kilda,10,11,71,5,9,39,Adelaide,32,0,0,35851
2024,18,2024-07-13 19:30:00,M.C.G.,Melbourne,Essendon,13,6,84,10,7,67,Melbourne,17,0,0,35847
2024,18,2024-07-14 13:10:00,Carrara,Gold Coast,Port Adelaide,14,12,96,12,10,82,Gold Coast,14,0,0,35845
2024,18,2024-07-14 15:20:00,M.C.G.,Richmond,Greater Western Sydney,12,12,84,17,6,108,Greater Western Sydney,-24,0,0,35848
2024,18,2024-07-14 16:40:00,Perth Stadium,West Coast,Brisbane Lions,14,9,93,16,10,106,Brisbane Lions,-13,0,0,35852
2024,19,2024-07-19 19:40:00,Docklands,Essendon,Adelaide,17,11,113,17,13,115,Adelaide,-2,0,0,35855
2024,19,2024-07-20 13:45:00,Sydney Showground,Greater Western Sydney,Gold Coast,14,5,89,6,14,50,Greater Western Sydney,39,0,0,35857
2024,19,2024-07-20 13:45:00,Docklands,St Kilda,West Coast,17,11,113,6,5,41,St Kilda,72,0,0,35859
2024,19,2024-07-20 16:35:00,M.C.G.,Hawthorn,Collingwood,20,13,133,9,13,67,Hawthorn,66,0,0,35858
2024,19,2024-07-20 19:30:00,Kardinia Park,Geelong,Western Bulldogs,7,6,48,13,17,95,Western Bulldogs,-47,0,0,35856
2024,19,2024-07-20 19:30:00,Adelaide Oval,Port Adelaide,Richmond,16,20,116,11,9,75,Port Adelaide,41,0,0,35860
2024,19,2024-07-21 13:10:00,Gabba,Brisbane Lions,Sydney,11,13,79,11,11,77,Brisbane Lions,2,0,0,35853
2024,19,2024-07-21 15:20:00,Perth Stadium,Fremantle,Melbourne,17,14,116,10,6,66,Fremantle,50,0,0,35861
2024,19,2024-07-21 16:40:00,Docklands,Carlton,North Melbourne,16,11,107,14,4,88,Carlton,19,0,0,35854
2024,20,2024-07-26 19:40:00,Docklands,Carlton,Port Adelaide,9,11,65,11,13,79,Port Adelaide,-14,0,0,35862
2024,20,2024-07-27 13:45:00,Bellerive Oval,North Melbourne,Geelong,10,6,66,16,10,106,Geelong,-40,0,0,35866
2024,20,2024-07-27 16:35:00,Carrara,Gold Coast,Brisbane Lions,9,11,65,13,15,93,Brisbane Lions,-28,0,0,35864
2024,20,2024-07-27 16:35:00,Docklands,St Kilda,Essendon,17,6,108,8,7,55,St Kilda,53,0,0,35867
2024,20,2024-07-27 19:30:00,M.C.G.,Melbourne,Greater Western Sydney,12,11,83,13,7,85,Greater Western Sydney,-2,0,0,35865
